userid,coffeeid,Stars,created_date
38,152,2,2023-11-16 07:42:18.925142
38,195,3,2023-11-16 07:42:18.928679
38,203,4,2023-11-16 07:42:18.931971
38,315,5,2023-11-16 07:42:18.935288
38,434,5,2023-11-16 07:42:18.938635
38,459,2,2023-11-16 07:42:18.942056
38,471,2,2023-11-16 07:42:18.943826
38,526,4,2023-11-16 07:42:18.947176
39,1,5,2023-11-16 09:00:25.104626
39,98,2,2023-11-16 09:00:25.108745
39,112,4,2023-11-16 09:00:25.113007
39,132,4,2023-11-16 09:00:25.116933
39,229,4,2023-11-16 09:00:25.120648
39,240,4,2023-11-16 09:00:25.124991
39,296,5,2023-11-16 09:00:25.129000
39,353,3,2023-11-16 09:00:25.134331
39,426,5,2023-11-16 09:00:25.138546
39,552,5,2023-11-16 09:00:25.142157
40,50,4,2023-11-16 10:10:10.927565
40,121,4,2023-11-16 10:10:10.931719
40,230,3,2023-11-16 10:10:10.935246
40,236,5,2023-11-16 10:10:10.939494
40,244,2,2023-11-16 10:10:10.943185
40,378,3,2023-11-16 10:10:10.947239
40,412,4,2023-11-16 10:10:10.951768
40,439,5,2023-11-16 10:10:10.955438
40,483,5,2023-11-16 10:10:10.963508
40,549,2,2023-11-16 10:10:10.966775
41,36,1,2023-11-16 11:29:15.295227
41,43,1,2023-11-16 11:29:15.298916
41,155,3,2023-11-16 11:29:15.302961
41,177,2,2023-11-16 11:29:15.306530
41,182,4,2023-11-16 11:29:15.311776
41,311,2,2023-11-16 11:29:15.315568
41,332,3,2023-11-16 11:29:15.319062
41,381,2,2023-11-16 11:29:15.322933
41,437,4,2023-11-16 11:29:15.326691
41,507,5,2023-11-16 11:29:15.330168
42,6,5,2023-11-16 11:31:06.388585
42,41,5,2023-11-16 11:31:06.392237
42,154,1,2023-11-16 11:31:06.395611
42,189,2,2023-11-16 11:31:06.398678
42,267,3,2023-11-16 11:31:06.401860
42,418,5,2023-11-16 11:31:06.403513
42,421,4,2023-11-16 11:31:06.406818
42,427,3,2023-11-16 11:31:06.410062
42,451,3,2023-11-16 11:31:06.413144
42,458,2,2023-11-16 11:31:06.414963
43,75,5,2023-11-16 12:05:06.838020
43,170,3,2023-11-16 12:05:06.845778
43,183,1,2023-11-16 12:05:06.849308
43,191,5,2023-11-16 12:05:06.852870
43,292,4,2023-11-16 12:05:06.856312
43,359,1,2023-11-16 12:05:06.859814
43,371,5,2023-11-16 12:05:06.863076
43,425,2,2023-11-16 12:05:06.867362
43,436,5,2023-11-16 12:05:06.870865
43,517,2,2023-11-16 12:05:06.874287
44,24,1,2023-11-16 19:43:03.519562
44,129,5,2023-11-16 19:43:03.525200
44,173,5,2023-11-16 19:43:03.528649
44,322,1,2023-11-16 19:43:03.532496
44,343,1,2023-11-16 19:43:03.536084
44,417,1,2023-11-16 19:43:03.539636
44,444,1,2023-11-16 19:43:03.543125
44,459,1,2023-11-16 19:43:03.546535
44,471,1,2023-11-16 19:43:03.550015
44,533,1,2023-11-16 19:43:03.554358
